code,execution_time,level,msg,pid,thread_name,ts,materialized,node_finished_at,node_name,node_path,node_started_at,node_status,resource_type,rows_affected,failures,message
A001,,info,Running with dbt=1.1.1,109348,MainThread,2022-07-18T00:09:27.144993Z
A002,,debug,"running dbt with arguments {'log_format': 'json', 'write_json': True, 'use_colors': True, 'printer_width': 80, 'version_check': True, 'partial_parse': True, 'static_parser': True, 'profiles_dir': '/home/ceci/.dbt', 'send_anonymous_usage_stats': True, 'event_buffer_size': 100000, 'quiet': False, 'no_print': False, 'which': 'run', 'rpc_method': 'run', 'indirect_selection': 'eager'}",109348,MainThread,2022-07-18T00:09:27.146056Z
A003,,debug,Tracking: tracking,109348,MainThread,2022-07-18T00:09:27.146311Z
Z040,,debug,"Sending event: {'category': 'dbt', 'action': 'invocation', 'label': 'start', 'context': [<snowplow_tracker.self_describing_json.SelfDescribingJson object at 0x7f3f8ab0a130>, <snowplow_tracker.self_describing_json.SelfDescribingJson object at 0x7f3f8ab0a1f0>, <snowplow_tracker.self_describing_json.SelfDescribingJson object at 0x7f3f8ab0a220>]}",109348,MainThread,2022-07-18T00:09:27.152972Z
I040,,debug,"Partial parsing enabled: 0 files deleted, 0 files added, 0 files changed.",109348,MainThread,2022-07-18T00:09:27.278384Z
I017,,debug,"Partial parsing enabled, no changes found, skipping parsing",109348,MainThread,2022-07-18T00:09:27.278684Z
Z046,,warn,"[[33mWARNING[0m]: Configuration paths exist in your dbt_project.yml file which do not apply to any resources.
There are 2 unused configuration paths:
- models.mimic.diagnosis
- models.mimic.example
",109348,MainThread,2022-07-18T00:09:27.280887Z
Z040,,debug,"Sending event: {'category': 'dbt', 'action': 'load_project', 'label': '7c4c3ecd-5c14-4600-9281-0e21ba30ba00', 'context': [<snowplow_tracker.self_describing_json.SelfDescribingJson object at 0x7f3f8ab1ef40>]}",109348,MainThread,2022-07-18T00:09:27.288454Z
Z040,,debug,"Sending event: {'category': 'dbt', 'action': 'resource_counts', 'label': '7c4c3ecd-5c14-4600-9281-0e21ba30ba00', 'context': [<snowplow_tracker.self_describing_json.SelfDescribingJson object at 0x7f3f8ab41400>]}",109348,MainThread,2022-07-18T00:09:27.310808Z
W006,,info,"Found 107 models, 0 tests, 0 snapshots, 0 analyses, 167 macros, 0 operations, 0 seed files, 0 sources, 0 exposures, 0 metrics",109348,MainThread,2022-07-18T00:09:27.311383Z
Z040,,debug,"Sending event: {'category': 'dbt', 'action': 'runnable_timing', 'label': '7c4c3ecd-5c14-4600-9281-0e21ba30ba00', 'context': [<snowplow_tracker.self_describing_json.SelfDescribingJson object at 0x7f3f8ab41a60>]}",109348,MainThread,2022-07-18T00:09:27.312110Z
E005,,debug,"Acquiring new postgres connection ""master""",109348,MainThread,2022-07-18T00:09:27.320217Z
E005,,debug,"Acquiring new postgres connection ""list_postgres""",109348,ThreadPoolExecutor-0_0,2022-07-18T00:09:27.325365Z
