code,execution_time,level,msg,pid,thread_name,ts,materialized,node_finished_at,node_name,node_path,node_started_at,node_status,resource_type,rows_affected,failures,message
Q030,,debug,Began compiling node model.mimic.vitals_first_day,64548,Thread-1,2022-07-29T23:00:38.400307Z,table,null,vitals_first_day,firstday/vitals_first_day.sql,2022-07-29T23:00:38.396379,compiling,model,,,
Q027,,debug,Compiling model.mimic.vitals_first_day,64548,Thread-1,2022-07-29T23:00:38.400840Z
Q028,,debug,"Writing injected SQL for node ""model.mimic.vitals_first_day""",64548,Thread-1,2022-07-29T23:00:38.402908Z
Z010,,debug,finished collecting timing info,64548,Thread-1,2022-07-29T23:00:38.403831Z
Q031,,debug,Began executing node model.mimic.vitals_first_day,64548,Thread-1,2022-07-29T23:00:38.404179Z,table,null,vitals_first_day,firstday/vitals_first_day.sql,null,executing,model,,,
M012,,debug,"Writing runtime SQL for node ""model.mimic.vitals_first_day""",64548,Thread-1,2022-07-29T23:00:38.418458Z
E015,,debug,"Using postgres connection ""model.mimic.vitals_first_day""",64548,Thread-1,2022-07-29T23:00:38.420026Z
E016,,debug,On model.mimic.vitals_first_day: BEGIN,64548,Thread-1,2022-07-29T23:00:38.420816Z
E037,,debug,"Opening a new connection, currently in state closed",64548,Thread-1,2022-07-29T23:00:38.421266Z
E017,,debug,SQL status: BEGIN in 0.01 seconds,64548,Thread-1,2022-07-29T23:00:38.429822Z
E015,,debug,"Using postgres connection ""model.mimic.vitals_first_day""",64548,Thread-1,2022-07-29T23:00:38.430419Z
